"","Code","Economy","Year","OPP","PC","FAIL","EI","TEA","OWN","EMPL","MOT","FMTEA","FMOD","JOB","INNOV","BSER","STAT","CHOI"
"1",1,"United States",2023,53.81,48.99,44.55,12.09,14.71,6.74,NA,NA,0.84,NA,28.8,NA,20.42,78.94,79.21
"2",27,"South Africa",2023,64.1,69.21,59.51,7.45,11.11,5.92,NA,NA,0.76,NA,21.42,NA,3.57,85.51,78.46
"3",30,"Greece",2023,45.29,53.76,53.16,9.1,6.74,14.7,NA,NA,0.79,NA,12.12,NA,22.53,69.76,72.9
"4",31,"Netherlands",2023,67.37,46.01,40.29,16.02,13.69,6.92,NA,NA,0.8,NA,15.13,NA,23.65,NA,NA
"5",33,"France",2023,50.86,49.51,40.08,13.41,10.75,4.56,NA,NA,0.72,NA,23.17,NA,32.58,51.76,65.41
"6",34,"Spain",2023,30.65,53.18,46.22,9.63,6.79,6.73,NA,NA,0.81,NA,10.07,NA,34.48,52.97,44.29
"7",36,"Hungary",2023,28.22,38.29,34.41,8.16,9.88,7.38,NA,NA,0.56,NA,16.5,NA,25.42,65.59,64.01
"8",39,"Italy",2023,33.75,50.85,48.48,10.39,8.33,7.75,NA,NA,0.61,NA,16.74,NA,28.06,64.33,67.33
"9",40,"Romania",2023,55.67,52.62,58.07,5.79,5.85,5.09,NA,NA,0.71,NA,25.88,NA,13.6,80.35,77.49
"10",41,"Switzerland",2023,52.49,44.89,36.35,9.96,10.29,5.83,NA,NA,0.9,NA,14.4,NA,42.57,74.89,38.39
"11",44,"United Kingdom",2023,47.18,52.83,53.2,11.16,11.76,6.26,NA,NA,0.78,NA,25.15,NA,28.1,84.33,67.28
"12",46,"Sweden",2023,68.96,47.19,43.41,10.72,9.25,5.46,299,NA,0.65,NA,16.35,NA,30.75,77.2,61.28
"13",47,"Norway",2023,68,54.56,43.06,9.34,6.92,7.56,NA,NA,0.56,NA,23.17,NA,33.93,84.73,57.4
"14",48,"Poland",2023,73.64,48.04,52.25,2.6,2.59,11.64,NA,NA,0.85,NA,14.49,NA,21.74,63.22,43
"15",49,"Germany",2023,41.43,42.15,38.62,7.68,7.69,4.1,NA,NA,0.64,NA,21.16,NA,31.65,77.5,51.05
"16",52,"Mexico",2023,61.52,69.19,46.11,24.55,16.84,3.17,NA,NA,0.91,NA,30.71,NA,7.58,63.8,65.23
"17",55,"Brazil",2023,65.37,65.89,46.9,48.71,18.62,11.87,NA,NA,0.64,NA,31.36,NA,17.27,NA,NA
"18",56,"Chile",2023,59.42,75.67,40.92,53.11,NA,5.29,NA,NA,0.94,NA,32.87,NA,15.81,65.65,71.12
"19",57,"Colombia",2023,59.96,72.24,34.93,18.52,23.57,3.35,NA,NA,1.26,NA,21.6,NA,3.95,52.98,55.56
